Model,MSE,RMSE,MAE,MAPE (%),R²
Random Forest,22220497.81006073,4713.862302832013,2545.586948489019,31.173985033032125,0.8550214299442245
Gradient Boosting,23579687.464595284,4855.892035928649,2630.0519828555875,30.767060807192497,0.8461533400286239
Ridge Regression,37091093.73866751,6090.2457863921645,4187.044789351405,43.47588010230736,0.757997603023906
Linear Regression,37092288.37886645,6090.343863762247,4185.809895281683,43.44655550947219,0.7579898085438157
Lasso Regression,37092347.25849052,6090.348697610878,4185.945469842621,43.450312838585944,0.7579894243812386
Support Vector Machine,106367811.3134148,10313.477168899672,5288.467358860709,37.20894425542633,0.3059987532232844
